DOE No., Pt_in [Pa], Pt_out [Pa], del_Pt [Pa], Head[m], VolumeFlowRate, RPM, Torque [N m], Eff [%]
16, -1.35221290588379, 20878.017578125, 20879.369140625, 2.12910294532776, 41.1997413635254, 1717, -2.14461541175842, 61.9670753479004
17, -1.50141894817352, 38383.67578125, 38385.17578125, 3.91419839859009, 38.4998970031738, 1112, -4.44818115234375, 79.2509994506836
18, -1.54272961616516, 78153.265625, 78154.8046875, 7.96957159042358, 19.8992710113525, 1732, -2.6696343421936, 89.2199630737305
19, -1.30137419700623, 43361.03515625, 43362.3359375, 4.42172765731812, 43.5999755859375, 1564, -4.66650533676147, 68.7130584716797
20, -2.325603723526, 62622.734375, 62625.05859375, 6.38597869873047, 18.2999248504639, 1737, -2.03998947143555, 85.7903747558594
21, 0.22802859544754, 40770.765625, 40770.5390625, 4.15743780136108, 23.6005592346191, 1653, -2.03141212463379, 76.0093002319336
22, 0.0991934537887573, 26197.736328125, 26197.63671875, 2.67141532897949, 29.8002300262451, 1008.00006103516, -2.64635729789734, 77.6321487426758
23, 0.328491568565369, 93709.0390625, 93708.7109375, 9.55562877655029, 45.1001091003418, 1127, -10.7307949066162, 92.6980590820313
24, -2.07156562805176, 50356.28125, 50358.3515625, 5.13512277603149, 23.9972705841064, 1472.00012207031, -2.60620641708374, 83.5575256347656
25, -0.96392410993576, 17106.140625, 17107.10546875, 1.74443924427032, 41.30029296875, 1527.00012207031, -1.99842846393585, 61.4144973754883
